,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
23,Female,>45,Less than 3 hours a week,Smartphone,Logic game,5,1,7,2,1,1,1,1,1
24,Female,18-24,Less than 3 hours a week,Smartphone,Arcade;Simulation;Adventure;Role-playing,6,5,6,4,3,4,3,5,5
25,Male,18-24,20 hours or more a week,PC/Laptop,Racing;Sports,7,2,7,3,2,2,2,5,3
26,Female,18-24,3-5 hours a week,Smartphone;PC/Laptop,Puzzle;Racing;Board or card game,5,4,5,3,2,2,2,2,2
27,Male,25-29,20 hours or more a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Role-playing;Racing,7,5,7,4,1,7,1,2,6
28,Male,18-24,6-9 hours a week,PC/Laptop,Action;Adventure;Strategy,5,5,6,4,1,4,1,4,4
29,Male,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Racing,7,1,7,1,1,1,1,4,1
31,Male,18-24,6-9 hours a week,PC/Laptop,Strategy,5,6,5,4,4,6,2,2,4
32,Female,18-24,Less than 3 hours a week,Smartphone,Logic game,5,2,4,4,3,5,1,3,3
33,Male,25-29,Less than 3 hours a week,PC/Laptop,Simulation;Racing,6,4,5,4,2,3,1,6,1
34,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;Strategy;Role-playing;Sports;Board or card game;Educational,6,3,6,2,4,1,1,1,1
35,Female,18-24,6-9 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;Role-playing,7,1,3,1,1,1,1,2,1
36,Female,25-29,Less than 3 hours a week,Smartphone,Simulation,5,6,4,5,5,3,5,3,5
37,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Role-playing;Educational;Logic game,7,4,4,6,1,1,1,5,2
38,Male,18-24,20 hours or more a week,PC/Laptop,"Arcade;Simulation;Action;Adventure;MMO;Strategy;Music, dance or party;Board or card game",6,5,6,6,1,2,1,6,5
39,Male,18-24,10-14 hours a week,PC/Laptop,Arcade;Action;Role-playing,6,3,6,3,1,3,1,4,4
40,Male,25-29,6-9 hours a week,PC/Laptop,Arcade;Action;Adventure;Role-playing,6,3,5,2,2,3,2,5,4
43,Female,18-24,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Adventure;Music, dance or party",7,4,6,2,5,1,1,1,5
44,Female,25-29,Less than 3 hours a week,Smartphone,"Music, dance or party",3,1,4,1,4,1,1,2,1
45,Female,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure,5,2,4,2,3,3,1,3,3
46,Female,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Puzzle;Action;Adventure,4,6,1,5,5,2,1,5,1
