,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
140,3-5 hours a week,7,3,5,4,1,4,2,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
141,3-5 hours a week,7,5,6,3,1,4,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,6-9 hours a week,7,1,5,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
144,Less than 3 hours a week,7,4,7,4,1,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
145,3-5 hours a week,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,3-5 hours a week,7,5,5,3,1,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,Less than 3 hours a week,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149,3-5 hours a week,3,5,5,2,1,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,Less than 3 hours a week,6,3,6,2,1,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
151,3-5 hours a week,5,2,2,2,2,4,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
153,3-5 hours a week,7,2,6,5,1,1,1,7,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
154,3-5 hours a week,4,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
156,6-9 hours a week,6,4,7,6,3,2,2,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
157,3-5 hours a week,6,1,6,4,1,1,1,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
