,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
411,3-5 hours a week,4,2,4,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
412,Less than 3 hours a week,6,1,4,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
413,Less than 3 hours a week,4,7,7,3,1,2,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
415,3-5 hours a week,4,4,4,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
417,Less than 3 hours a week,5,5,7,4,2,7,7,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
418,Less than 3 hours a week,4,3,4,4,2,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
419,Less than 3 hours a week,4,6,2,2,2,4,3,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
420,Less than 3 hours a week,7,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
422,6-9 hours a week,7,2,4,2,7,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
423,3-5 hours a week,2,3,4,2,6,3,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
424,Less than 3 hours a week,6,5,7,1,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
428,Less than 3 hours a week,7,2,6,4,4,6,7,6,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
429,Less than 3 hours a week,7,1,6,5,2,2,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
431,15-19 hours a week,7,4,5,5,2,6,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
433,Less than 3 hours a week,7,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
434,Less than 3 hours a week,7,2,6,1,3,1,1,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
436,Less than 3 hours a week,7,2,4,4,3,2,1,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0
437,10-14 hours a week,4,5,3,5,2,3,6,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
438,10-14 hours a week,6,6,5,4,1,1,1,4,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1
439,3-5 hours a week,5,4,4,3,2,2,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
440,Less than 3 hours a week,6,1,5,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
441,10-14 hours a week,7,2,7,3,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
442,Less than 3 hours a week,7,3,5,2,1,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
445,Less than 3 hours a week,7,7,5,7,5,7,7,7,7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
446,3-5 hours a week,4,6,5,7,7,7,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
447,Less than 3 hours a week,6,3,7,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
448,3-5 hours a week,7,1,4,2,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
450,15-19 hours a week,6,2,6,5,1,5,1,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
451,Less than 3 hours a week,7,1,4,2,3,2,1,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
452,10-14 hours a week,4,3,6,5,6,3,1,5,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
453,Less than 3 hours a week,6,5,7,3,2,1,1,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
454,Less than 3 hours a week,7,7,7,7,7,7,7,7,7,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
456,Less than 3 hours a week,7,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
459,Less than 3 hours a week,4,1,1,1,1,2,1,4,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
460,Less than 3 hours a week,4,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
461,Less than 3 hours a week,7,4,5,3,1,4,1,3,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
462,6-9 hours a week,5,6,3,3,1,1,1,5,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
463,Less than 3 hours a week,7,1,3,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
464,10-14 hours a week,7,5,6,4,3,2,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
465,Less than 3 hours a week,5,2,5,3,2,2,2,6,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
466,3-5 hours a week,7,5,6,5,1,6,3,5,6,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
467,Less than 3 hours a week,6,1,7,1,1,4,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
468,6-9 hours a week,5,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
469,3-5 hours a week,7,6,7,4,1,5,4,5,6,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
471,3-5 hours a week,5,6,5,5,4,6,3,4,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
472,15-19 hours a week,7,2,7,2,1,1,2,5,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
473,Less than 3 hours a week,3,4,5,2,2,3,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
474,3-5 hours a week,7,1,5,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
475,Less than 3 hours a week,6,1,4,2,1,1,1,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
477,Less than 3 hours a week,6,3,5,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
482,Less than 3 hours a week,5,6,7,4,4,7,3,4,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
485,Less than 3 hours a week,6,5,6,6,6,3,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
486,3-5 hours a week,6,4,7,4,2,3,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
487,Less than 3 hours a week,5,2,6,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
488,3-5 hours a week,7,6,5,4,2,3,2,5,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
490,3-5 hours a week,4,2,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
492,6-9 hours a week,6,3,5,4,7,1,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
493,Less than 3 hours a week,4,2,6,5,4,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0
494,20 hours or more a week,7,4,6,5,2,3,1,4,2,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0
495,Less than 3 hours a week,4,4,7,7,1,4,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
496,6-9 hours a week,5,3,7,4,2,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
498,3-5 hours a week,4,5,6,4,6,3,5,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
500,3-5 hours a week,6,2,5,2,2,4,1,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
501,Less than 3 hours a week,6,1,5,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
502,3-5 hours a week,6,2,6,2,4,2,1,5,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
505,15-19 hours a week,7,2,6,4,1,3,1,6,5,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
507,Less than 3 hours a week,7,1,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
509,3-5 hours a week,4,5,5,2,1,5,1,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
510,Less than 3 hours a week,6,4,6,4,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
511,3-5 hours a week,7,5,6,4,1,2,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
513,Less than 3 hours a week,5,3,4,2,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
514,Less than 3 hours a week,5,1,4,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
515,Less than 3 hours a week,7,5,7,5,2,5,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
516,6-9 hours a week,7,7,7,4,1,5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
519,Less than 3 hours a week,5,1,3,1,1,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
520,Less than 3 hours a week,7,4,7,4,1,3,2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
523,Less than 3 hours a week,7,4,4,6,5,5,3,5,6,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
524,Less than 3 hours a week,7,3,4,2,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
526,6-9 hours a week,6,5,3,4,4,6,2,4,6,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
527,Less than 3 hours a week,7,6,7,7,4,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
528,Less than 3 hours a week,7,4,7,3,2,2,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
529,Less than 3 hours a week,5,1,6,1,6,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
530,Less than 3 hours a week,5,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
531,10-14 hours a week,6,5,5,2,1,2,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
533,6-9 hours a week,7,4,5,5,2,6,7,5,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
535,3-5 hours a week,6,4,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
537,3-5 hours a week,7,3,5,3,3,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
538,6-9 hours a week,5,2,5,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
539,Less than 3 hours a week,1,2,2,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
540,Less than 3 hours a week,7,1,4,1,1,4,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
541,Less than 3 hours a week,4,4,1,4,3,4,3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
543,15-19 hours a week,2,1,2,1,1,7,4,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
544,3-5 hours a week,5,4,6,3,6,5,6,7,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
546,6-9 hours a week,7,5,6,4,6,5,4,5,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0
547,10-14 hours a week,7,5,7,6,3,4,5,5,3,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0
548,Less than 3 hours a week,7,1,4,5,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
549,Less than 3 hours a week,1,2,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
550,3-5 hours a week,6,2,5,4,3,6,2,3,5,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0
551,Less than 3 hours a week,7,2,6,1,1,1,1,5,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
553,3-5 hours a week,7,7,7,7,7,7,7,7,7,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
554,Less than 3 hours a week,5,5,6,7,7,7,6,6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
556,Less than 3 hours a week,4,4,2,4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
557,Less than 3 hours a week,6,4,4,2,1,2,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
558,3-5 hours a week,7,3,5,2,1,2,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
559,15-19 hours a week,7,3,7,3,1,4,1,6,6,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0
560,Less than 3 hours a week,7,5,7,3,3,6,2,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
562,3-5 hours a week,6,2,6,3,1,3,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
565,3-5 hours a week,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
567,3-5 hours a week,5,3,3,4,4,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
569,Less than 3 hours a week,6,2,6,2,1,1,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
571,Less than 3 hours a week,6,3,6,5,4,2,1,5,2,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0
573,3-5 hours a week,6,3,5,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
575,3-5 hours a week,7,3,7,1,1,1,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
578,3-5 hours a week,7,4,1,4,1,7,3,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
579,Less than 3 hours a week,4,2,3,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
581,Less than 3 hours a week,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
584,3-5 hours a week,7,2,7,1,4,3,1,3,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
585,Less than 3 hours a week,4,5,6,6,5,7,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
586,3-5 hours a week,7,6,3,5,5,3,2,3,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
587,10-14 hours a week,7,3,5,2,2,2,1,6,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0
588,3-5 hours a week,7,2,4,3,4,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0
589,6-9 hours a week,7,7,4,7,1,7,4,7,2,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
590,Less than 3 hours a week,5,2,5,2,1,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
592,3-5 hours a week,7,2,7,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
594,Less than 3 hours a week,6,2,4,2,3,1,1,3,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
595,Less than 3 hours a week,4,6,4,5,6,3,2,1,7,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
596,6-9 hours a week,7,1,5,5,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
597,Less than 3 hours a week,4,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
598,Less than 3 hours a week,6,2,3,4,5,2,1,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
599,6-9 hours a week,7,3,1,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
600,3-5 hours a week,7,6,5,1,1,3,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
602,3-5 hours a week,5,3,3,4,1,2,1,5,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
604,Less than 3 hours a week,2,4,2,5,3,4,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
605,Less than 3 hours a week,7,3,5,2,1,1,1,2,2,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0
606,3-5 hours a week,7,3,1,5,1,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
608,Less than 3 hours a week,7,6,4,2,1,5,7,7,5,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
609,3-5 hours a week,7,4,6,3,1,2,1,4,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
610,Less than 3 hours a week,7,6,6,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
614,3-5 hours a week,7,4,6,3,4,1,1,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
615,Less than 3 hours a week,5,1,4,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
616,6-9 hours a week,6,4,5,5,5,6,3,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
617,Less than 3 hours a week,7,3,4,2,4,3,3,4,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0
621,6-9 hours a week,7,5,7,1,1,1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
622,3-5 hours a week,6,1,2,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
624,Less than 3 hours a week,6,4,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
626,3-5 hours a week,7,3,6,5,5,2,1,5,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
627,Less than 3 hours a week,7,7,7,4,1,7,1,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
628,3-5 hours a week,6,2,4,3,2,1,1,2,2,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0
630,Less than 3 hours a week,7,5,5,3,3,4,1,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
631,Less than 3 hours a week,7,4,7,5,4,3,1,6,5,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0
632,Less than 3 hours a week,6,3,6,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
634,3-5 hours a week,7,1,7,3,3,1,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
635,6-9 hours a week,7,3,7,2,2,2,2,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
636,Less than 3 hours a week,5,1,4,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
638,3-5 hours a week,5,3,2,2,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
639,Less than 3 hours a week,3,6,5,3,5,5,5,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
640,3-5 hours a week,7,4,6,4,1,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
641,Less than 3 hours a week,4,3,4,4,5,7,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
644,6-9 hours a week,5,5,6,3,1,2,1,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
645,Less than 3 hours a week,7,4,5,3,1,5,4,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
648,Less than 3 hours a week,5,6,5,4,4,4,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
649,Less than 3 hours a week,7,4,7,2,5,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
652,3-5 hours a week,5,6,4,6,5,5,6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
654,Less than 3 hours a week,7,3,5,3,3,3,3,2,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
655,Less than 3 hours a week,5,2,2,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
657,6-9 hours a week,6,4,6,4,2,1,1,3,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
658,6-9 hours a week,5,2,6,4,3,4,6,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
659,Less than 3 hours a week,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
661,3-5 hours a week,7,1,4,3,1,1,1,4,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
662,Less than 3 hours a week,7,5,6,5,3,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
664,Less than 3 hours a week,4,3,3,3,3,2,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
670,6-9 hours a week,6,2,5,2,1,4,1,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
671,3-5 hours a week,7,5,4,2,1,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
672,6-9 hours a week,7,3,6,5,1,4,3,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
673,3-5 hours a week,7,1,7,1,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
674,Less than 3 hours a week,4,3,2,2,3,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
676,Less than 3 hours a week,7,1,1,1,6,4,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
679,6-9 hours a week,7,3,7,2,5,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
681,Less than 3 hours a week,7,6,4,7,6,6,5,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
685,Less than 3 hours a week,7,7,7,7,7,7,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
687,Less than 3 hours a week,7,4,4,1,1,1,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
688,Less than 3 hours a week,5,4,5,3,3,4,4,5,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
690,10-14 hours a week,7,7,7,6,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
691,Less than 3 hours a week,7,1,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
692,3-5 hours a week,6,4,5,3,1,2,1,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
695,20 hours or more a week,4,4,6,5,1,1,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
696,10-14 hours a week,4,2,3,2,2,4,1,4,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
697,Less than 3 hours a week,4,4,5,5,5,3,4,6,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
701,3-5 hours a week,6,3,3,2,2,2,1,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
702,3-5 hours a week,5,4,6,3,1,2,1,6,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
703,3-5 hours a week,6,5,7,3,1,3,3,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
704,3-5 hours a week,7,3,7,1,1,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
706,6-9 hours a week,7,5,5,3,1,3,1,3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0
707,Less than 3 hours a week,3,1,4,1,7,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
708,Less than 3 hours a week,5,3,6,1,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
711,6-9 hours a week,7,4,4,7,6,7,5,7,7,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
712,3-5 hours a week,7,5,6,3,1,4,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
713,Less than 3 hours a week,2,1,6,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
718,Less than 3 hours a week,4,2,7,2,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
719,Less than 3 hours a week,7,1,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
720,6-9 hours a week,6,2,5,2,2,1,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
722,20 hours or more a week,7,7,7,7,7,7,7,7,7,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1
723,3-5 hours a week,6,5,5,4,5,3,1,3,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
